formula,Crystal System,band_gap_experimenatal (eV)
In1.8(Ti0.1Zn0.1)O3(ZnO)4 ,Monoclinic ,2.761
In1.9(Ti0.05Zn0.05)O3(ZnO)4 ,Monoclinic ,2.727
In2(As2O5)Cl2 ,Triclinic ,4.62
In2P3BO12 ,Hexagonal ,5.39
In4(As2O5)(As3O7)Br3 ,Triclinic ,4.22
In6Ti6CaO22 ,Monoclinic ,3.5
InBi2Se4Br ,Monoclinic ,1.21
InNb(TeO4)2 ,Orthorhombic ,3.5
InSb2S4Br ,Monoclinic ,1.8
InSb2S4Cl ,Monoclinic ,1.8
InSb2Se4Br ,Monoclinic ,1.35
K(VO)2O2(IO3)3 ,Orthorhombic ,2.3
K0.6Cs0.4PSe6 ,Orthorhombic ,2.1
K0.75Na0.25IrO2 ,Hexagonal ,0.973
K0.8Hg1.2Sn2S8 ,Monoclinic ,2.78
K1.25Pb3.5Bi7.25Se15 ,Monoclinic ,0.53
K1.46Sn3.09Bi7.45Se15 ,Monoclinic ,0.39
K1.83Cd1.83Bi2.17S6 ,Orthorhombic ,1.37
K10Co4Sn4S17 ,Cubic ,1.555
K10Fe4Sn4S17 ,Cubic ,2.2
K10Mn4Sn4S17 ,Cubic ,2.3
K10Sn3{P2Se6)4 ,trigonal ,1.82
K10Zn4Ge4S17 ,Cubic ,3.34
K10Zn4Sn4S17 ,Cubic ,3.15
K2.15Pb1.7Sb8.15Se15 ,Monoclinic ,0.6
K2[B3O3(OH)5] ,Orthorhombic ,5.535
K2Ag2SnSe4 ,Monoclinic ,1.8
K2Ag3Sb3S7 ,Orthorhombic ,2.2
K2AgIn3Se6 ,Monoclinic ,1.64
K2Au(IO3)5 ,Orthorhombic ,2.285
K2Au2Sn2S6 ,Tetragonal ,2.3
K2Au2Sn2Se6 ,Tetragonal ,2.287
K2Au2SnS4 ,Triclinic ,2.75
K2AuPS4 ,Monoclinic ,2.63
K2BaB16O26 ,Orthorhombic ,5.565
K2Cd(SeO3)2 ,trigonal ,4.77
K2CdP2Se6 ,Monoclinic ,2.58
K2Ce(PO4)2 ,Monoclinic ,2.46
K2Cu2GeS4 ,Monoclinic ,2.39
K2CuGa3Se6 ,Monoclinic ,1.72
K2CuIn3Se6 ,Monoclinic ,1.68
K2CuNbSe4 ,Orthorhombic ,2.14
K2CuSbS3 ,Monoclinic ,2.2
K2CuVS4 ,Orthorhombic ,1.82
K2Dy2Ti3O10 ,Tetragonal ,3.38
K2FeGe3Se8 ,Monoclinic ,1.95
K2Gd2Sb2Se9 ,Orthorhombic ,1.33
K2Gd2Ti3O10 ,Tetragonal ,3.3
K2Ge3B2O10 ,Monoclinic ,5.38
K2Hg3Ge2S8 ,Monoclinic ,2.7
K2Hg3Ge2S8 ,Orthorhombic ,2.64
K2Hg3S1.03Se2.97 ,Orthorhombic ,2.11
K2Hg3S2.69Se1.31 ,Orthorhombic ,2.28
K2Hg3Sn2S8 ,Monoclinic ,2.5
K2Hg3Sn2S8 ,Orthorhombic ,2.4
K2HgP2Se6 ,Monoclinic ,2.25
K2Ho4Cu4S9 ,Monoclinic ,2.43
K2La2Sb2S9 ,Orthorhombic ,2.2
K2La2Ti3O10 ,Tetragonal ,3.05
K2MnSn2Se6 ,Tetragonal ,2
K2MnSnSe4 ,Tetragonal ,1.7
K2Mo2O5(SeO3)2 ,Orthorhombic ,3.3
K2Nd2Ti3O10 ,Tetragonal ,3.25
K2PbGe2S6 ,Monoclinic ,2.85
K2Pt(IO3)6 ,trigonal ,2.4
K2Sm2Ti3O10 ,Tetragonal ,3.26
K2SmP2S7 ,Monoclinic ,2.59
K2Sn(IO3)6 ,trigonal ,4
K2Sn3Sb2S10 ,Monoclinic ,2.3
K2TiCu2S4 ,Tetragonal ,2.04
K2USi6O15 ,Monoclinic ,3.58
K2ZnSn2Se6 ,Tetragonal ,1.71
K2ZnSn3S8 ,Cubic ,2.55
K2ZnSn3S8 ,Triclinic ,2.3
K3CdB5O10 ,Monoclinic ,3.47
K3Cr2(PS4)3 ,Monoclinic ,1.35
K3Ga3Ge7S20 ,Monoclinic ,3.25
K3Ga3Ge7Se20 ,Monoclinic ,2.23
K3NaSn3Se8 ,Tetragonal ,2.2
K3Nb2AsSe11 ,Monoclinic ,1.53
K3SmAs2S8 ,Monoclinic ,2.2
K3Ta2AsS11 ,Monoclinic ,2.21
K3Ta2AsSe11 ,Monoclinic ,1.45
K3Ta3B2O12 ,Hexagonal ,4.15
K3Ti2P5S18 ,Monoclinic ,1.61
K4Ag9Sb4S12 ,Tetragonal ,2
K4Ba2Nb4S22 ,Monoclinic ,1.77
K4Cu6Ge3S12 ,Cubic ,2.2
K4GeP4Se12 ,Orthorhombic ,2
K4In4P6Se20 ,Monoclinic ,2.2
K4Mg(WO4)3 ,Triclinic ,4.28
K4Sc2(PSe4)2(P2Se6) ,Monoclinic ,2.25
K4Sn3Ce3S14 ,Monoclinic ,2.46
K5In3P6Se19 ,Triclinic ,2.2
K6Cd4Sn3Se13 ,Hexagonal ,2.33
K6Nb1.07Ta2.93S22 ,Monoclinic ,1.88
K6Nb2.97Ta1.03S25 ,Monoclinic ,2.01
K6Yb3P5S20 ,Monoclinic ,2.6
K8Ce2I18O53 ,Monoclinic ,1.735
KAg11(VO4)4 ,Orthorhombic ,2
KAg2[PS4] ,Tetragonal ,3.02
KAg2AsS3 ,Triclinic ,2.015
KAg2SbS3 ,Triclinic ,2.1
KAg2SbS4 ,Tetragonal ,1.57
KAgAsS2 ,Monoclinic ,2.21
KAlGeS4 ,Tetragonal ,3.5
KAu(IO3)4 ,Monoclinic ,2.52
KAu5PS8 ,Monoclinic ,2.14
KBaAsSe3 ,Monoclinic ,2.26
KBaB5O9 ,Monoclinic ,3.65
KBaSbSe3 ,Monoclinic ,2.04
KBiCu2S3 ,Triclinic ,1.29
KBiSiS4 ,Monoclinic ,2.25
KCd4Ga5Se12 ,trigonal ,2.16
KCu2SbS3 ,Triclinic ,1.453333333
KCu4AsS4 ,Monoclinic ,1.9
KCuThS3 ,Orthorhombic ,2.01
KEuAsS4 ,Monoclinic ,1.89
KFe2BiO5 ,Monoclinic ,1.76
KFeCuTe2 ,Tetragonal ,0.74
KGaSnSe4 ,Cubic ,2.1
KGaSnSe4 ,Monoclinic ,1.73
KGaSnSe4 ,Tetragonal ,1.73
KH2PO4 ,Tetragonal ,5.716666667
KHg4Ga5Se12 ,trigonal ,1.61
KIn(TeO3)2 ,Orthorhombic ,4
KInGeS4 ,Cubic ,3.1
KInGeS4 ,Triclinic ,3.34
KInSnS4 ,Hexagonal ,2.3
KInSnSe4 ,Cubic ,1.49
KInSnSe4 ,Monoclinic ,1.8
KInSnSe4 ,Tetragonal ,2.4
KLa9(GeO4)6O2 ,Hexagonal ,3.92
KMgBO3 ,Cubic ,3.742
KNb2PSe10 ,Monoclinic ,1.15
KNb3Se2O12 ,Orthorhombic ,3.46
KNb3Te2O12 ,Orthorhombic ,3.52
KNbO(SeO3)2 ,Orthorhombic ,4
KPbB5O9 ,Monoclinic ,3.1
KPbPO4 ,Orthorhombic ,4.44
KRbBi8Se13 ,Monoclinic ,0.64
KSbB2O6 ,Monoclinic ,3.63
KSbI6O18 ,trigonal ,2.96
KSbS2O8 ,Monoclinic ,4.64
KSc(SeO3)2 ,Orthorhombic ,5.4
KSm2CuS4 ,Orthorhombic ,2.17
KTa3Te2O12 ,Orthorhombic ,4.06
KTiOPO4 ,Hexagonal ,3.67
KUO3Cl ,Monoclinic ,2.37
KY(CO3)2 ,Monoclinic ,5.3985
KY(TeO3)2 ,Orthorhombic ,3.8
KZn4B3O9 ,Monoclinic ,2.32
KZn4Ga5S12 ,trigonal ,3.65
KZrPSe6 ,Orthorhombic ,2
La(IO3)2(NO3) ,trigonal ,3.475
La(OH)2NO3 ,Monoclinic ,4.19
La1.86Tb1.14Ga1.67S7 ,Hexagonal ,2.67
La20Mo12O63Cl4 ,Hexagonal ,2.4
La2BaTe5O14 ,Monoclinic ,3.39
La2CoTiO6 ,Monoclinic ,1.02
La2CoVO6 ,Orthorhombic ,0.41
La2Ga0.33SbS5 ,Tetragonal ,1.76
La2Ga2GeS8 ,Orthorhombic ,2.78
La2Mg(Mg1/3Ta2/3)O6 ,Monoclinic ,4.55
La2Mg3SiP6 ,Orthorhombic ,0.1
La2MnCoO6 ,Orthorhombic ,0.75
La2MnNiO6 ,Monoclinic ,1.2665
La2MnNiO6 ,Orthorhombic ,0.9
La2MnNiO6 ,Rhombohedral ,1.1545
La2NiVO6 ,Orthorhombic ,0.45
La2O2FeSe2 ,Orthorhombic ,0.7
La2O2MnSe2 ,Orthorhombic ,1.6
La2O2ZnSe2 ,Orthorhombic ,3.4
La2Sr2PtO7.13 ,Hexagonal ,2.52
La2V2O6(IO3) ,Orthorhombic ,3.63
La2YbCuS5 ,Orthorhombic ,1.45
La2YbCuSe5 ,Orthorhombic ,1.15
La3(IO3)8(OH) ,trigonal ,4.34
La3CuGaSe7 ,Hexagonal ,1.36
La3CuGeSe7 ,Hexagonal ,2
La3FMo4O16 ,Triclinic ,3.7
La3GaGe0.5S7 ,Hexagonal ,2.54
La3InGe0.5S7 ,Hexagonal ,2.61
La3Mg0.5SnS14 ,Hexagonal ,1.71
La3Pb3(IO3)13(μ3-O) ,Hexagonal ,4.02
La3Sb0.33SiS7 ,Hexagonal ,1.92
La3Sb0.33SiSe7 ,Hexagonal ,1.75
La3Sn0.5InS7 ,Hexagonal ,1.45
La3SnGa5O14 ,trigonal ,4.6
La4Cd4In2S13 ,Orthorhombic ,2.27
La4FeSb2S10 ,Orthorhombic ,1
La4FeSb2Se10 ,Orthorhombic ,0.85
La4InSbS9 ,Orthorhombic ,2.07
La4InSbS9 ,Tetragonal ,2.57
La4InSbSe9 ,Tetragonal ,1.76
La5Cu6.33O4S7 ,Orthorhombic ,2
La5In3S9O3 ,Orthorhombic ,2.6
La6Sb4S3O12 ,Tetragonal ,2.6
LaBeB3O7 ,Orthorhombic ,5.65
LaCuOS ,Tetragonal ,3.1
LaCuOSe ,Tetragonal ,2.8
LaCuOTe ,Tetragonal ,2.31
LaInS2O ,Orthorhombic ,2.73
LaMn0.5SeO ,Monoclinic ,2.13
LaNb3Bi4O5 ,Orthorhombic ,2.7
LaNbON2 ,Orthorhombic ,1.7
LaOBiS2 ,Tetragonal ,0.995
LaTa3Bi4O5 ,Orthorhombic ,2.8
LaTaN2O ,Monoclinic ,1.9
LaTaN2O ,Orthorhombic ,1.9
LaVO(IO3)5 ,Monoclinic ,3.58
LaZnAsO ,Tetragonal ,1.5
Li0.2Na0.8AsSe2 ,Monoclinic ,1.645
Li0.5Pb1.75GeS4 ,Cubic ,1.95
Li2(MoO3)(TeO3) ,Monoclinic ,3.5
Li2(WO3)(TeO3) ,Monoclinic ,4
Li2BaGeS4 ,Tetragonal ,3.015
Li2BaGeSe4 ,Tetragonal ,2.02
Li2BaSnS4 ,Tetragonal ,2.965
Li2BaSnSe4 ,Tetragonal ,2.135
Li2Cd3(SeO3)4 ,Triclinic ,4.88
Li2CdGeS4 ,Orthorhombic ,3.1
Li2CdSnS4 ,Orthorhombic ,3.26
Li2FeGeS4 ,Monoclinic ,1.42
Li2FeSnS4 ,Monoclinic ,1.86
Li2Ga2GeS6 ,Orthorhombic ,3.65
Li2GaGe2Se6 ,Orthorhombic ,2.64
Li2HgGeS4 ,Orthorhombic ,2.46
Li2HgSiS4 ,Orthorhombic ,2.68
Li2HgSnS4 ,Orthorhombic ,2.32
Li2In2GeS6 ,Monoclinic ,2.96
Li2In2GeSe6 ,Monoclinic ,2.3
Li2In2SiS6 ,Monoclinic ,3.61
Li2In2SiSe6 ,Monoclinic ,2.54
Li2MnGeS4 ,Orthorhombic ,3.06
Li2Sn(IO3)6 ,Hexagonal ,3.9
Li2ZnGeSe4 ,Monoclinic ,1.86
Li2ZnSnSe4 ,Monoclinic ,1.87
Li4.5Al0.5TeO6 ,Monoclinic ,4.9
Li4.5Cr0.5TeO6 ,Monoclinic ,1.79
Li4.5Fe0.5TeO6 ,Monoclinic ,3.25
Li4.5Ga0.5TeO6 ,Monoclinic ,4.99
Li4.5Mn0.5TeO6 ,Monoclinic ,1.97
Li4HgGe2S7 ,Monoclinic ,2.75
Li6(Mo2O5)3(SeO3)6 ,Orthorhombic ,3.3
Li6Al2Te8O22 ,Monoclinic ,3.63
Li6Fe2Te8O22 ,Monoclinic ,1.98
Li6Ga2Te8O22 ,Monoclinic ,3.85
Li7(TeO3)3F ,Hexagonal ,4.36
Li9Ga13Te21O66 ,Hexagonal ,4.45
LiBaB3S6 ,Monoclinic ,3.92
LiBi3O4Cl2 ,Tetragonal ,3.35
LiBi4Nb3O12 ,Monoclinic ,3
LiBi4Ta3O12 ,Monoclinic ,3.5
LiCa3As2H ,Orthorhombic ,1.4
LiCdBO3 ,Monoclinic ,4.28
LiCsCO3 ,Monoclinic ,5.43
LiGaGe2S6 ,Orthorhombic ,2.86
LiGaGe2Se6 ,Orthorhombic ,2.64
LiGd5P2O13 ,Monoclinic ,3.73
LiIn(IO3)4 ,Triclinic ,4.27
LiInSnS4 ,Cubic ,2.3
LiKB8O13 ,Monoclinic ,6.021
LiKB8O13 ,Orthorhombic ,5.622
LiKCO3 ,Monoclinic ,5.565
LiLa9(GeO4)6O2 ,Hexagonal ,3.79
LiMoO3(IO3) ,Monoclinic ,2.8
LiNaB8O13 ,Monoclinic ,5.618
LiPbB9O15 ,trigonal ,4.75
LiPbSb3S6 ,Monoclinic ,1.6
LiRbCO3 ,Monoclinic ,5.48
LiSm3SiS7 ,Hexagonal ,2.83
LiSn2Bi5S10 ,Monoclinic ,0.28
LiZnBO3 ,Monoclinic ,3.1
LiZnPS4 ,Tetragonal ,3.44
Mg5(BO3)3F ,Orthorhombic ,5.63
Mn1.95GdIn1.05S5 ,Orthorhombic ,1.66
Mn2.04Gd1.47In0.49S5 ,Orthorhombic ,1.75
MnVTe2O8 ,Monoclinic ,1.9
Na[B5O7(OH)2](H2O) ,Orthorhombic ,5.87
Na0.5Pb1.75GeS4 ,Cubic ,2.08
Na0.5Pb1.75GeSe4 ,Cubic ,1.6
Na0.75Eu1.625GeSe4 ,Cubic ,2
Na2B6O9F2 ,Monoclinic ,6.675
Na2BaGeS4 ,trigonal ,3.16
Na2BaGeSe4 ,trigonal ,2.11
Na2BaSnS4 ,Tetragonal ,2.795
Na2BaSnSe4 ,trigonal ,2.25
Na2CdGe2S6 ,Monoclinic ,2.793333333
Na2CdGe2Se6 ,Monoclinic ,2.155
Na2Cs2B20O32 ,Monoclinic ,5.4
Na2EuGeSe4 ,Cubic ,2
Na2Ga2GeS6 ,Orthorhombic ,3.29
Na2Ga2SnS6 ,Monoclinic ,2.2
Na2Ga2SnS6 ,Orthorhombic ,2.29
Na2GdP2O8 ,Monoclinic ,4.185
Na2GeIn2Se6 ,Monoclinic ,2.47
Na2Hg3Ge2S8 ,Tetragonal ,2.165
Na2Hg3S2.51Se1.49 ,Orthorhombic ,2.03
Na2Hg3Si2S8 ,Tetragonal ,2.295
Na2Hg3Sn2S8 ,Tetragonal ,2.575
Na2In2GeS6 ,Monoclinic ,2.7935
Na2In2SiS6 ,Monoclinic ,2.87
Na2In4SSe6 ,Orthorhombic ,1.92
Na2Mo2O5(SeO3)2 ,Monoclinic ,3.1
Na2Nb4O7(SeO3)4 ,Triclinic ,3.56
Na2Pt(IO3)6 ,trigonal ,2.4
Na2Rb2B20O32 ,Monoclinic ,5.5
Na2Sn(IO3)6 ,Hexagonal ,4
Na2Zn3(SeO3)4 ,Monoclinic ,4.9
Na2ZnGe2S6 ,Monoclinic ,3.145
Na2ZnGe2Se6 ,Tetragonal ,2.36
Na2ZnSn2S6 ,Orthorhombic ,2.93
Na3MoO4Cl ,Tetragonal ,4.69
Na3MoO4F ,Orthorhombic ,4.77
Na3Sn2F6Cl ,trigonal ,3.685
Na3WO4Cl ,Tetragonal ,4.99
Na3ZnB5O10 ,Monoclinic ,3.2
Na4Cu(MoO4)3 ,Monoclinic ,2.303333333
Na4MgGe2Se6 ,Monoclinic ,2.53
Na4MgSi2Se6 ,Monoclinic ,2.85
Na5Gd(MoO4)4 ,Tetragonal ,3.376
Na6Si3S8O ,Monoclinic ,3.505
Na7.36Ga7.24Sn4.78Se24 ,Monoclinic ,1.5
Na8CsB21O36 ,Tetragonal ,4.67
Na8Eu2(Ge2S6)2 ,Monoclinic ,2.15
NaAlGeS4 ,Tetragonal ,3.6
NaBa2Cu3S5 ,Monoclinic ,0.45
NaBaB5O9 ,Monoclinic ,4.78
NaCdAsS3 ,Monoclinic ,2.93
NaGaGe3Se8 ,Monoclinic ,2.35
NaGe2P3O12 ,trigonal ,3.526
NaIn(IO3)4 ,Monoclinic ,4.25
NaIn(TeO3)2 ,Orthorhombic ,4
NaInSnS4 ,Hexagonal ,2.4
NaLa2TaO6 ,Monoclinic ,4.5
NaLa9(GeO4)6O2 ,Hexagonal ,3.78
NaLiCdS2 ,trigonal ,2.37
NaLuP2S6 ,Triclinic ,3.48
NaMgBO3 ,Monoclinic ,2.916
NaNb2PS10 ,Monoclinic ,1.72
NaNbO(SeO3)2 ,Monoclinic ,3.8
NaNbO(SeO3)2 ,Orthorhombic ,3.65
NaSbP2S6 ,Monoclinic ,2.21
NaSc(SeO3)2 ,Orthorhombic ,5.5
NaScP2S6 ,Orthorhombic ,3.31
NaSmP2S6 ,Monoclinic ,2.54
NaSn2Bi5S10 ,Monoclinic ,0.11
NaYbP2S6 ,Triclinic ,1.85
NaYP2S6 ,Triclinic ,3.35
NaYTe4O10 ,Tetragonal ,3.9
Nb6VSb3O25 ,Orthorhombic ,3.2
Nd2MnCoO6 ,Orthorhombic ,1.15
Nd2MnNiO6 ,Orthorhombic ,1.02
Nd2YbCuS5 ,Orthorhombic ,1.35
Nd3Pb3(IO3)13(μ3-O) ,Hexagonal ,3.53
Nd4InSbSe9 ,Tetragonal ,1.57
NdCuOTe ,Tetragonal ,2.26
NdF[MoO4] ,Monoclinic ,3.66
NdTaN2O ,Orthorhombic ,2
NH4H2PO4 ,Tetragonal ,6.805
Ni2InVO6 ,Orthorhombic ,1.92
Pb0.65Mn2.85Ga3S8 ,Hexagonal ,1.965
Pb0.72Mn2.84Ga2.95Se8 ,Hexagonal ,1.65
Pb17(Sb0.75As0.25)16S41 ,Orthorhombic ,1.3
Pb2(HPO3)2 ,Orthorhombic ,3.97
Pb2(NO3)2(SeO3) ,Orthorhombic ,3.57
Pb2(O4Pb8)(BO3)3Br3 ,Monoclinic ,3.25
Pb2(O8Pb12)(BO3)2Br6 ,Monoclinic ,2.62
Pb2B3O5.5(OH)2 ,Orthorhombic ,4.42
Pb2Bi5.9La2.1S14 ,Orthorhombic ,1
Pb2BiS2I3 ,Orthorhombic ,1.39
Pb2BO3Cl ,trigonal ,3.99
Pb2Ge(SeO3)4 ,Monoclinic ,4.1
Pb2Mg(PO4)2 ,Monoclinic ,3.635
Pb2Nb2Se4O15 ,Monoclinic ,2.79
Pb2O[BO2(OH)] ,Monoclinic ,3.49
Pb2SbS2I3 ,Orthorhombic ,2
Pb2V2Se2O11 ,Triclinic ,2.39
Pb2V3Se5O18 ,Orthorhombic ,3.14
Pb3Bi(PO4)3 ,Cubic ,3.7
Pb3Bi(VO4)3 ,Cubic ,2.5
Pb3Br2(SeO3)2 ,Monoclinic ,3.73
Pb3Cl4(TeO3) ,Orthorhombic ,3.79
Pb4(BO3)2(SO4) ,Monoclinic ,3.59
Pb4(VO2)2)(SeO3)4(Se2O5) ,Orthorhombic ,3.37
Pb4Ga5GeS12 ,Tetragonal ,2.35
Pb4Ga5GeSe12 ,Tetragonal ,1.91
Pb4Zn8(PO4)8 ,Monoclinic ,4.19
Pb6B4O11(OH)2 ,Orthorhombic ,3.24
PbBiBO4 ,Monoclinic ,3.2
PbBiO2Br ,Tetragonal ,2.416666667
PbBiO2Cl ,Tetragonal ,2.48
PbCd(PO3)4 ,Monoclinic ,4.85
PbCuSbS3 ,Orthorhombic ,1.31
PbGa2GeS6 ,Orthorhombic ,2.2825
PbGa2GeSe6 ,Orthorhombic ,1.96
PbGa2SiSe6 ,Monoclinic ,2.17
PbMnIn2S5 ,Orthorhombic ,1.45
PbSbBS4 ,Monoclinic ,1.803
PbSbO2Br ,Tetragonal ,2.67
PbSbO2I ,Tetragonal ,2.48
PbTa2V2O11 ,Monoclinic ,2.24
Pr2.48Tb0.52Ga1.67S7 ,Hexagonal ,2.61
Pr2MnCoO6 ,Orthorhombic ,0.97
Pr2MnNiO6 ,Orthorhombic ,1
Pr2Sr2PtO7.07 ,Hexagonal ,3.05
Pr2YbCuS5 ,Orthorhombic ,1.25
Pr3Pb3(IO3)13(μ3-O) ,Hexagonal ,3.85
Pr4InSbSe9 ,Tetragonal ,1.89
PrF[MoO4] ,Monoclinic ,3.64
PrTaN2O ,Orthorhombic ,1.95
Rb1.45Pb3.1Sb7.45Se15 ,Monoclinic ,0.45
Rb1.54Cd1.54Bi2.46S6 ,Orthorhombic ,1.33
Rb2AgNbS4 ,Orthorhombic ,2.76
Rb2AgPS4 ,Triclinic ,2.6
Rb2Ba(MoO4)2 ,trigonal ,4.305
Rb2BaNb2Se11 ,Monoclinic ,1.53
Rb2CaP2O7 ,Monoclinic ,6.648
Rb2Cd(SeO3)2 ,trigonal ,4.75
Rb2Cd3B16O28 ,Monoclinic ,4.76
Rb2CdBr2I2 ,Orthorhombic ,3.35
Rb2CdP2Se6 ,Monoclinic ,2.58
Rb2Cu2Sb2S5 ,Monoclinic ,1.6
Rb2Cu2SnS4 ,Orthorhombic ,2.08
Rb2GeB4O9 ,Monoclinic ,5.54
Rb2Hg3Ge2S8 ,Monoclinic ,2.8
Rb2Hg3Sn2S8 ,Monoclinic ,2.48
Rb2HgP2Se6 ,Monoclinic ,2.32
Rb2Mg2(WO4)3 ,Cubic ,4.17
Rb2Mo3O7(SeO3)3 ,Monoclinic ,3.1
Rb2Pt(IO3)6 ,trigonal ,2.4
Rb2Sn(IO3)6 ,trigonal ,4.1
Rb2Sn3Sb2S10 ,Monoclinic ,2.33
Rb2TiAg2S4 ,Tetragonal ,2.33
Rb2TiCu2S4 ,Tetragonal ,2.19
Rb2USi6O15 ,Monoclinic ,3.51
Rb2USiO6 ,Orthorhombic ,2.185
Rb2Zn3(SeO3)4 ,Monoclinic ,4.9
Rb3(AlS2)3(GeS2)7 ,Monoclinic ,3.1
Rb3(AlSe2)3(GeSe2)7 ,Monoclinic ,2.4
Rb3(IO3)3(I2O5)(HIO3)4(H2O) ,Monoclinic ,5.08
Rb3Ag9(PS4)4 ,Orthorhombic ,2.6
Rb3CdB5O10 ,Monoclinic ,2.34
Rb3In(IO3)6 ,Triclinic ,2.45
Rb3Na(MoO4)2 ,trigonal ,4.84
Rb3Nb2AsSe11 ,Monoclinic ,1.5
Rb3Sr2P7O21 ,Monoclinic ,4.97
Rb3Ta2AsS11 ,Monoclinic ,2.21
Rb3ZnB5O10 ,Monoclinic ,2.66
Rb4Ag9Sb4S12 ,Tetragonal ,2
Rb4Cu6Ge3S12 ,Cubic ,2.3
Rb4Ge3B6O17 ,Monoclinic ,5.42
Rb4GeP4Se12 ,Orthorhombic ,2
Rb4Mo5P2O22 ,Orthorhombic ,3.51
Rb4Sn3Cl2Br8 ,Orthorhombic ,2.4
Rb5BS4O16 ,Tetragonal ,3.99
Rb7Th2P6Se21 ,Triclinic ,2.07
RbAg2SbS4 ,trigonal ,2.3
RbAg2TeS6 ,Hexagonal ,2.04
RbAg5(PS4)2 ,Orthorhombic ,2.4
RbB4O6F ,Orthorhombic ,6.93
RbBaPS4 ,Orthorhombic ,3.3
RbBaVSe4 ,Orthorhombic ,1.6
RbBi3Se4Te ,Orthorhombic ,0.8
RbCaBO3 ,Cubic ,3.67
RbCd4Ga5S12 ,trigonal ,3.02
RbCd4Ga5Se12 ,trigonal ,2.19
RbCd4Ga5Te12 ,trigonal ,1.525
RbCd4In5Se12 ,trigonal ,1.57
RbCdB3O6 ,Monoclinic ,4.2
RbCu2AsS3 ,Monoclinic ,1.96
RbCu2SbS3 ,Triclinic ,1.67
RbCu2VS4 ,Orthorhombic ,1.45
RbCu4AsS4 ,Monoclinic ,2.15
RbCuSb2S4 ,Monoclinic ,1.6
RbGaSn2Se6 ,trigonal ,1.655
RbGaSnSe4 ,Cubic ,1.88
RbGaSnSe4 ,Monoclinic ,2.24
RbGeB3O7 ,Orthorhombic ,5.58
RbHgSbTe3 ,Orthorhombic ,0.2
RbInGeS4 ,Cubic ,3.1
RbInGeS4 ,Orthorhombic ,3.33
RbInSn2Se6 ,trigonal ,1.59
RbInSnS4 ,Cubic ,2.7
RbInTe3O8 ,Triclinic ,3.9
RbIO3(HIO3)2 ,Triclinic ,4.07
RbLa9(GeO4)6O2 ,Hexagonal ,3.84
RbLaP2S6 ,Monoclinic ,2.99
RbMgBO3 ,Cubic ,3.827
RbMn4Ga5Te12 ,trigonal ,1.53
RbMn4In5Se12 ,trigonal ,1.76
RbMoPO6 ,Orthorhombic ,2.96
RbNb2PSe10 ,Monoclinic ,1.15
RbNb3Te2O12 ,Orthorhombic ,3.49
RbNbO(SeO3)2 ,Orthorhombic ,4.1
RbPbPO4 ,Orthorhombic ,4.35
RbSc(SeO3)2 ,Hexagonal ,4.9
RbTa3Te2O12 ,Orthorhombic ,3.88
RbY(TeO3)2 ,Orthorhombic ,3.6
RbYbZnSe3 ,Orthorhombic ,2.07
RbZn4Ga5S12 ,trigonal ,3.65
RbZn4In5Se12 ,trigonal ,1.91
RbZrPSe6 ,Orthorhombic ,2
Re4Se4S4Br16 ,Tetragonal ,1.47
Ru4(CO)12(μ3-Se)4 ,Cubic ,2.44
"Sc2Nb(O,N,[])6 ",Cubic ,3.325
ScAlOC ,Rhombohedral ,0.6
ScCaO(BO3) ,Orthorhombic ,4.25
ScCdO(BO3) ,Orthorhombic ,4.4
ScNb4O7N3 ,Tetragonal ,2.765
ScTa2O5N ,Tetragonal ,2.67
ScTiNbO6 ,Orthorhombic ,3.58
Sm2Mn3Sb4S12 ,Monoclinic ,1.5
Sm2MnCoO6 ,Orthorhombic ,1.6
Sm2MnNiO6 ,Orthorhombic ,1.23
Sm2YbCuS5 ,Orthorhombic ,1.28
Sm3Al0.33SiS7 ,Hexagonal ,2.26
Sm3S3BO3 ,Triclinic ,1.99
Sm4GaSbS9 ,Orthorhombic ,2.23
Sm4InSbS9 ,Tetragonal ,2.13
SmBiW2O9 ,Orthorhombic ,3.39
SmCuOS ,Tetragonal ,2.9
SmCuOSe ,Tetragonal ,2.6
SmSb2BO8 ,Orthorhombic ,3.54
SmTaN2O ,Orthorhombic ,2
Sn2BiS2I3 ,Orthorhombic ,1.106666667
Sn2BiSI5 ,Monoclinic ,1.296666667
Sn2SbS2I3 ,Orthorhombic ,1.5625
SnGa2GeS6 ,Orthorhombic ,2.04
Sr12.6-13.97Pb5.03-6.4Ge11Se44 ,Hexagonal ,1.8
Sr2(VO)3(SeO3)5 ,Orthorhombic ,2.47
Sr2(VO3)2)(SeO3)3 ,Monoclinic ,2.96
Sr2Bi5.42La2.58S14 ,Orthorhombic ,1
Sr2Cu2US5 ,Monoclinic ,1.5
Sr2Mg(BO3)2 ,Monoclinic ,5.93
Sr2ScSbO6 ,Cubic ,3.51
Sr2ScSbO6 ,Monoclinic ,3.48
Sr2ScSbO6 ,Tetragonal ,3.41
Sr2SmTaO6 ,Monoclinic ,3.38
Sr3(SeO3)(Se2O5)Cl2 ,Orthorhombic ,4.4
Sr3Bi(PO4)3 ,Cubic ,4
Sr3Eu(PO4)3 ,Cubic ,3.987
Sr3GeSb2Se8 ,Orthorhombic ,0.75
Sr3P3O10Cl ,Orthorhombic ,5.14
